Date,median of the 100 ensemble member time series,,,
1850/01,-0.7,,,time series are presented as temperature anomalies (deg C) relative to 1961-1990.
1850/02,-0.286,,,
1850/03,-0.732,,,
1850/04,-0.563,,,
1850/05,-0.327,,,
1850/06,-0.213,,,
1850/07,-0.125,,,
1850/08,-0.237,,,
1850/09,-0.439,,,
1850/10,-0.451,,,
1850/11,-0.187,,,
1850/12,-0.257,,,
1851/01,-0.296,,,
1851/02,-0.356,,,
1851/03,-0.479,,,
1851/04,-0.441,,,
1851/05,-0.295,,,
1851/06,-0.197,,,
1851/07,-0.212,,,
1851/08,-0.157,,,
1851/09,-0.101,,,
1851/10,-0.057,,,
1851/11,-0.02,,,
1851/12,-0.051,,,
1852/01,-0.315,,,
1852/02,-0.477,,,
1852/03,-0.502,,,
1852/04,-0.557,,,
1852/05,-0.211,,,
1852/06,-0.04,,,
1852/07,-0.018,,,
1852/08,-0.202,,,
1852/09,-0.125,,,
1852/10,-0.216,,,
1852/11,-0.193,,,
1852/12,0.073,,,
1853/01,-0.182,,,
1853/02,-0.327,,,
1853/03,-0.309,,,
1853/04,-0.355,,,
1853/05,-0.268,,,
1853/06,-0.175,,,
1853/07,-0.059,,,
1853/08,-0.148,,,
1853/09,-0.404,,,
1853/10,-0.362,,,
1853/11,-0.255,,,
1853/12,-0.437,,,
1854/01,-0.365,,,
1854/02,-0.282,,,
1854/03,-0.286,,,
1854/04,-0.353,,,
1854/05,-0.233,,,
1854/06,-0.219,,,
1854/07,-0.227,,,
1854/08,-0.167,,,
1854/09,-0.119,,,
1854/10,-0.192,,,
1854/11,-0.367,,,
1854/12,-0.233,,,
1855/01,-0.169,,,
1855/02,-0.401,,,
1855/03,-0.306,,,
1855/04,-0.223,,,
1855/05,-0.338,,,
1855/06,-0.167,,,
1855/07,-0.271,,,
1855/08,-0.163,,,
1855/09,-0.336,,,
1855/10,-0.217,,,
1855/11,-0.214,,,
1855/12,-0.518,,,
1856/01,-0.122,,,
1856/02,-0.376,,,
1856/03,-0.528,,,
1856/04,-0.38,,,
1856/05,-0.129,,,
1856/06,-0.291,,,
1856/07,-0.304,,,
1856/08,-0.309,,,
1856/09,-0.461,,,
1856/10,-0.391,,,
1856/11,-0.608,,,
1856/12,-0.449,,,
1857/01,-0.513,,,
1857/02,-0.345,,,
1857/03,-0.434,,,
1857/04,-0.649,,,
1857/05,-0.57,,,
1857/06,-0.31,,,
1857/07,-0.541,,,
1857/08,-0.329,,,
1857/09,-0.393,,,
1857/10,-0.474,,,
1857/11,-0.668,,,
1857/12,-0.358,,,
1858/01,-0.528,,,
1858/02,-0.708,,,
1858/03,-0.548,,,
1858/04,-0.512,,,
1858/05,-0.653,,,
1858/06,-0.582,,,
1858/07,-0.329,,,
1858/08,-0.278,,,
1858/09,-0.332,,,
1858/10,-0.211,,,
1858/11,-0.643,,,
1858/12,-0.304,,,
1859/01,-0.308,,,
1859/02,-0.189,,,
1859/03,-0.327,,,
1859/04,-0.195,,,
1859/05,-0.307,,,
1859/06,-0.248,,,
1859/07,-0.274,,,
1859/08,-0.1,,,
1859/09,-0.565,,,
1859/10,-0.249,,,
1859/11,-0.315,,,
1859/12,-0.363,,,
1860/01,-0.181,,,
1860/02,-0.426,,,
1860/03,-0.642,,,
1860/04,-0.332,,,
1860/05,-0.293,,,
1860/06,-0.309,,,
1860/07,-0.109,,,
1860/08,-0.182,,,
1860/09,-0.217,,,
1860/10,-0.195,,,
1860/11,-0.515,,,
1860/12,-0.762,,,
1861/01,-0.893,,,
1861/02,-0.508,,,
1861/03,-0.464,,,
1861/04,-0.386,,,
1861/05,-0.768,,,
1861/06,-0.189,,,
1861/07,-0.221,,,
1861/08,-0.094,,,
1861/09,-0.33,,,
1861/10,-0.362,,,
1861/11,-0.417,,,
1861/12,-0.247,,,
1862/01,-0.742,,,
1862/02,-0.78,,,
1862/03,-0.403,,,
1862/04,-0.24,,,
1862/05,-0.225,,,
1862/06,-0.336,,,
1862/07,-0.344,,,
1862/08,-0.7,,,
1862/09,-0.42,,,
1862/10,-0.42,,,
1862/11,-0.766,,,
1862/12,-0.887,,,
1863/01,0.122,,,
1863/02,-0.024,,,
1863/03,-0.365,,,
1863/04,-0.244,,,
1863/05,-0.329,,,
1863/06,-0.402,,,
1863/07,-0.423,,,
1863/08,-0.326,,,
1863/09,-0.316,,,
1863/10,-0.384,,,
1863/11,-0.329,,,
1863/12,-0.341,,,
1864/01,-0.941,,,
1864/02,-0.632,,,
1864/03,-0.507,,,
1864/04,-0.548,,,
1864/05,-0.454,,,
1864/06,-0.165,,,
1864/07,-0.159,,,
1864/08,-0.311,,,
1864/09,-0.445,,,
1864/10,-0.706,,,
1864/11,-0.472,,,
1864/12,-0.615,,,
1865/01,-0.101,,,
1865/02,-0.615,,,
1865/03,-0.646,,,
1865/04,-0.236,,,
1865/05,-0.265,,,
1865/06,-0.285,,,
1865/07,-0.136,,,
1865/08,-0.21,,,
1865/09,-0.085,,,
1865/10,-0.27,,,
1865/11,-0.2,,,
1865/12,-0.342,,,
1866/01,0.037,,,
1866/02,-0.216,,,
1866/03,-0.596,,,
1866/04,-0.265,,,
1866/05,-0.53,,,
1866/06,0.098,,,
1866/07,0.018,,,
1866/08,-0.273,,,
1866/09,-0.232,,,
1866/10,-0.425,,,
1866/11,-0.309,,,
1866/12,-0.334,,,
1867/01,-0.313,,,
1867/02,0.007,,,
1867/03,-0.714,,,
1867/04,-0.266,,,
1867/05,-0.546,,,
1867/06,-0.304,,,
1867/07,-0.247,,,
1867/08,-0.234,,,
1867/09,-0.103,,,
1867/10,-0.186,,,
1867/11,-0.314,,,
1867/12,-0.628,,,
1868/01,-0.7,,,
1868/02,-0.471,,,
1868/03,-0.079,,,
1868/04,-0.381,,,
1868/05,-0.077,,,
1868/06,-0.178,,,
1868/07,0.138,,,
1868/08,-0.041,,,
1868/09,-0.202,,,
1868/10,-0.238,,,
1868/11,-0.505,,,
1868/12,-0.131,,,
1869/01,-0.249,,,
1869/02,0.258,,,
1869/03,-0.591,,,
1869/04,-0.221,,,
1869/05,-0.281,,,
1869/06,-0.376,,,
1869/07,-0.293,,,
1869/08,-0.084,,,
1869/09,-0.196,,,
1869/10,-0.417,,,
1869/11,-0.371,,,
1869/12,-0.358,,,
1870/01,-0.082,,,
1870/02,-0.453,,,
1870/03,-0.4,,,
1870/04,-0.206,,,
1870/05,-0.168,,,
1870/06,-0.216,,,
1870/07,0.018,,,
1870/08,-0.259,,,
1870/09,-0.264,,,
1870/10,-0.403,,,
1870/11,-0.17,,,
1870/12,-0.72,,,
1871/01,-0.528,,,
1871/02,-0.548,,,
1871/03,0.003,,,
1871/04,-0.139,,,
1871/05,-0.309,,,
1871/06,-0.222,,,
1871/07,-0.013,,,
1871/08,-0.221,,,
1871/09,-0.453,,,
1871/10,-0.48,,,
1871/11,-0.538,,,
1871/12,-0.561,,,
1872/01,-0.31,,,
1872/02,-0.405,,,
1872/03,-0.47,,,
1872/04,-0.15,,,
1872/05,-0.041,,,
1872/06,-0.205,,,
1872/07,-0.113,,,
1872/08,-0.027,,,
1872/09,-0.128,,,
1872/10,-0.227,,,
1872/11,-0.244,,,
1872/12,-0.426,,,
1873/01,-0.03,,,
1873/02,-0.344,,,
1873/03,-0.29,,,
1873/04,-0.524,,,
1873/05,-0.412,,,
1873/06,-0.257,,,
1873/07,-0.15,,,
1873/08,-0.159,,,
1873/09,-0.355,,,
1873/10,-0.401,,,
1873/11,-0.464,,,
1873/12,-0.272,,,
1874/01,0.063,,,
1874/02,-0.435,,,
1874/03,-0.556,,,
1874/04,-0.504,,,
1874/05,-0.467,,,
1874/06,-0.457,,,
1874/07,-0.169,,,
1874/08,-0.363,,,
1874/09,-0.204,,,
1874/10,-0.433,,,
1874/11,-0.501,,,
1874/12,-0.404,,,
1875/01,-0.571,,,
1875/02,-0.597,,,
1875/03,-0.597,,,
1875/04,-0.466,,,
1875/05,-0.175,,,
1875/06,-0.233,,,
1875/07,-0.299,,,
1875/08,-0.18,,,
1875/09,-0.268,,,
1875/10,-0.363,,,
1875/11,-0.503,,,
1875/12,-0.506,,,
1876/01,-0.315,,,
1876/02,-0.279,,,
1876/03,-0.388,,,
1876/04,-0.298,,,
1876/05,-0.533,,,
1876/06,-0.282,,,
1876/07,-0.137,,,
1876/08,-0.248,,,
1876/09,-0.436,,,
1876/10,-0.388,,,
1876/11,-0.586,,,
1876/12,-0.716,,,
1877/01,-0.327,,,
1877/02,0.049,,,
1877/03,-0.28,,,
1877/04,-0.321,,,
1877/05,-0.454,,,
1877/06,-0.092,,,
1877/07,0.013,,,
1877/08,0.147,,,
1877/09,0.028,,,
1877/10,0.062,,,
1877/11,0.096,,,
1877/12,0.17,,,
1878/01,0.174,,,
1878/02,0.403,,,
1878/03,0.343,,,
1878/04,0.319,,,
1878/05,-0.082,,,
1878/06,0.019,,,
1878/07,-0.049,,,
1878/08,-0.023,,,
1878/09,0.017,,,
1878/10,-0.122,,,
1878/11,-0.2,,,
1878/12,-0.356,,,
1879/01,-0.193,,,
1879/02,-0.149,,,
1879/03,-0.094,,,
1879/04,-0.214,,,
1879/05,-0.212,,,
1879/06,-0.27,,,
1879/07,-0.23,,,
1879/08,-0.167,,,
1879/09,-0.215,,,
1879/10,-0.122,,,
1879/11,-0.39,,,
1879/12,-0.515,,,
1880/01,-0.067,,,
1880/02,-0.173,,,
1880/03,-0.104,,,
1880/04,-0.15,,,
1880/05,-0.244,,,
1880/06,-0.307,,,
1880/07,-0.247,,,
1880/08,-0.116,,,
1880/09,-0.235,,,
1880/10,-0.386,,,
1880/11,-0.408,,,
1880/12,-0.294,,,
1881/01,-0.353,,,
1881/02,-0.234,,,
1881/03,-0.181,,,
1881/04,-0.131,,,
1881/05,-0.03,,,
1881/06,-0.23,,,
1881/07,-0.148,,,
1881/08,-0.123,,,
1881/09,-0.24,,,
1881/10,-0.275,,,
1881/11,-0.334,,,
1881/12,-0.13,,,
1882/01,0.125,,,
1882/02,-0.008,,,
1882/03,-0.051,,,
1882/04,-0.283,,,
1882/05,-0.372,,,
1882/06,-0.315,,,
1882/07,-0.187,,,
1882/08,-0.221,,,
1882/09,-0.156,,,
1882/10,-0.329,,,
1882/11,-0.312,,,
1882/12,-0.471,,,
1883/01,-0.4,,,
1883/02,-0.321,,,
1883/03,-0.346,,,
1883/04,-0.397,,,
1883/05,-0.256,,,
1883/06,-0.124,,,
1883/07,-0.2,,,
1883/08,-0.21,,,
1883/09,-0.279,,,
1883/10,-0.379,,,
1883/11,-0.312,,,
1883/12,-0.323,,,
1884/01,-0.403,,,
1884/02,-0.217,,,
1884/03,-0.459,,,
1884/04,-0.527,,,
1884/05,-0.396,,,
1884/06,-0.411,,,
1884/07,-0.424,,,
1884/08,-0.413,,,
1884/09,-0.346,,,
1884/10,-0.332,,,
1884/11,-0.567,,,
1884/12,-0.415,,,
1885/01,-0.502,,,
1885/02,-0.412,,,
1885/03,-0.482,,,
1885/04,-0.469,,,
1885/05,-0.518,,,
1885/06,-0.486,,,
1885/07,-0.316,,,
1885/08,-0.505,,,
1885/09,-0.329,,,
1885/10,-0.242,,,
1885/11,-0.262,,,
1885/12,-0.155,,,
1886/01,-0.396,,,
1886/02,-0.47,,,
1886/03,-0.412,,,
1886/04,-0.338,,,
1886/05,-0.188,,,
1886/06,-0.382,,,
1886/07,-0.28,,,
1886/08,-0.335,,,
1886/09,-0.432,,,
1886/10,-0.361,,,
1886/11,-0.423,,,
1886/12,-0.42,,,
1887/01,-0.566,,,
1887/02,-0.556,,,
1887/03,-0.457,,,
1887/04,-0.435,,,
1887/05,-0.355,,,
1887/06,-0.404,,,
1887/07,-0.274,,,
1887/08,-0.362,,,
1887/09,-0.337,,,
1887/10,-0.499,,,
1887/11,-0.404,,,
1887/12,-0.395,,,
1888/01,-0.591,,,
1888/02,-0.44,,,
1888/03,-0.534,,,
1888/04,-0.238,,,
1888/05,-0.347,,,
1888/06,-0.292,,,
1888/07,-0.304,,,
1888/08,-0.278,,,
1888/09,-0.219,,,
1888/10,-0.095,,,
1888/11,-0.194,,,
1888/12,-0.169,,,
1889/01,-0.067,,,
1889/02,-0.082,,,
1889/03,-0.064,,,
1889/04,0.01,,,
1889/05,-0.08,,,
1889/06,-0.144,,,
1889/07,-0.191,,,
1889/08,-0.22,,,
1889/09,-0.381,,,
1889/10,-0.298,,,
1889/11,-0.398,,,
1889/12,-0.179,,,
1890/01,-0.329,,,
1890/02,-0.368,,,
1890/03,-0.463,,,
1890/04,-0.324,,,
1890/05,-0.417,,,
1890/06,-0.371,,,
1890/07,-0.405,,,
1890/08,-0.416,,,
1890/09,-0.473,,,
1890/10,-0.498,,,
1890/11,-0.555,,,
1890/12,-0.411,,,
1891/01,-0.512,,,
1891/02,-0.474,,,
1891/03,-0.363,,,
1891/04,-0.358,,,
1891/05,-0.199,,,
1891/06,-0.288,,,
1891/07,-0.323,,,
1891/08,-0.313,,,
1891/09,-0.193,,,
1891/10,-0.322,,,
1891/11,-0.541,,,
1891/12,-0.115,,,
1892/01,-0.398,,,
1892/02,-0.112,,,
1892/03,-0.47,,,
1892/04,-0.484,,,
1892/05,-0.403,,,
1892/06,-0.461,,,
1892/07,-0.526,,,
1892/08,-0.443,,,
1892/09,-0.325,,,
1892/10,-0.441,,,
1892/11,-0.627,,,
1892/12,-0.793,,,
1893/01,-0.974,,,
1893/02,-0.727,,,
1893/03,-0.373,,,
1893/04,-0.567,,,
1893/05,-0.559,,,
1893/06,-0.459,,,
1893/07,-0.277,,,
1893/08,-0.291,,,
1893/09,-0.43,,,
1893/10,-0.274,,,
1893/11,-0.415,,,
1893/12,-0.34,,,
1894/01,-0.465,,,
1894/02,-0.374,,,
1894/03,-0.38,,,
1894/04,-0.388,,,
1894/05,-0.421,,,
1894/06,-0.493,,,
1894/07,-0.315,,,
1894/08,-0.341,,,
1894/09,-0.458,,,
1894/10,-0.444,,,
1894/11,-0.42,,,
1894/12,-0.41,,,
1895/01,-0.497,,,
1895/02,-0.677,,,
1895/03,-0.519,,,
1895/04,-0.405,,,
1895/05,-0.415,,,
1895/06,-0.333,,,
1895/07,-0.348,,,
1895/08,-0.261,,,
1895/09,-0.284,,,
1895/10,-0.337,,,
1895/11,-0.297,,,
1895/12,-0.318,,,
1896/01,-0.219,,,
1896/02,-0.23,,,
1896/03,-0.387,,,
1896/04,-0.352,,,
1896/05,-0.205,,,
1896/06,-0.119,,,
1896/07,-0.112,,,
1896/08,-0.063,,,
1896/09,-0.109,,,
1896/10,-0.123,,,
1896/11,-0.286,,,
1896/12,-0.034,,,
1897/01,-0.203,,,
1897/02,-0.125,,,
1897/03,-0.275,,,
1897/04,-0.076,,,
1897/05,-0.031,,,
1897/06,-0.155,,,
1897/07,-0.157,,,
1897/08,-0.149,,,
1897/09,-0.135,,,
1897/10,-0.258,,,
1897/11,-0.453,,,
1897/12,-0.477,,,
1898/01,-0.085,,,
1898/02,-0.38,,,
1898/03,-0.749,,,
1898/04,-0.573,,,
1898/05,-0.474,,,
1898/06,-0.319,,,
1898/07,-0.377,,,
1898/08,-0.306,,,
1898/09,-0.332,,,
1898/10,-0.556,,,
1898/11,-0.449,,,
1898/12,-0.346,,,
1899/01,-0.208,,,
1899/02,-0.494,,,
1899/03,-0.544,,,
1899/04,-0.351,,,
1899/05,-0.316,,,
1899/06,-0.39,,,
1899/07,-0.275,,,
1899/08,-0.147,,,
1899/09,-0.136,,,
1899/10,-0.188,,,
1899/11,0.028,,,
1899/12,-0.45,,,
Jan-00,-0.266,,,
Feb-00,-0.172,,,
Mar-00,-0.285,,,
Apr-00,-0.261,,,
May-00,-0.273,,,
Jun-00,-0.18,,,
Jul-00,-0.19,,,
Aug-00,-0.185,,,
Sep-00,-0.23,,,
Oct-00,-0.058,,,
Nov-00,-0.263,,,
Dec-00,-0.075,,,
Jan-01,-0.176,,,
Feb-01,-0.272,,,
Mar-01,-0.236,,,
Apr-01,-0.187,,,
May-01,-0.196,,,
Jun-01,-0.146,,,
Jul-01,-0.188,,,
Aug-01,-0.196,,,
Sep-01,-0.343,,,
Oct-01,-0.298,,,
Nov-01,-0.442,,,
Dec-01,-0.428,,,
Jan-02,-0.232,,,
Feb-02,-0.26,,,
Mar-02,-0.398,,,
Apr-02,-0.451,,,
May-02,-0.401,,,
Jun-02,-0.424,,,
Jul-02,-0.391,,,
Aug-02,-0.368,,,
Sep-02,-0.361,,,
Oct-02,-0.477,,,
Nov-02,-0.538,,,
Dec-02,-0.526,,,
Jan-03,-0.269,,,
Feb-03,-0.181,,,
Mar-03,-0.358,,,
Apr-03,-0.473,,,
May-03,-0.463,,,
Jun-03,-0.537,,,
